[3](0,0,0)
[3](0,-1017.08,0)
[3](-0,625.115,-0)
[3](0,-1977.19,0)
[3](0,-556.546,0)
[3](-0,134.895,-0)
[3](0,-2354.52,0)
[3](-0,667.745,-0)
[3](0,-1760.3,0)
[3](0,-1284.67,0)
[3](0,-1079.27,0)
[3](0,-69.3794,0)
[3](0,-1306.94,0)
[3](0,-778.889,0)
[3](-0,258.37,-0)
[3](0,-945.892,0)
[3](-0,118.184,-0)
[3](0,-634.229,0)
[3](-0,418.232,-0)
[3](0,-1176.39,0)
[3](0,-472.978,0)
[3](0,-1126.85,0)
[3](0,-269.777,0)
[3](0,-1261.5,0)
[3](-0,459.96,-0)
[3](0,-822.5,0)
[3](0,-1842.15,0)
[3](0,-2950.9,0)
[3](0,-3848.28,0)
[3](0,-22.389,0)
[3](-0,491.568,-0)
[3](0,-1057.29,0)
[3](0,-1233.11,0)
[3](0,-35.6909,0)
[3](0,-2264.76,0)
[3](-0,971.749,-0)
[3](-0,361.737,-0)
[3](-0,900.411,-0)
[3](0,-954.204,0)
[3](0,-833.44,0)
[3](0,-1199.27,0)
[3](0,-2802.54,0)
[3](0,-725.947,0)
[3](-0,91.4115,-0)
[3](0,-178.045,0)
[3](0,-1917.46,0)
[3](-0,347.459,-0)
[3](0,-925.502,0)
[3](0,-1358.49,0)
[3](0,-33.5071,0)
[3](0,-2970.81,0)
[3](0,-1452.27,0)
[3](0,-515.267,0)
[3](0,-1214.56,0)
[3](0,-1570.2,0)
[3](-0,320.149,-0)
[3](0,-1127.12,0)
[3](0,-2234.19,0)
[3](0,-1237.92,0)
[3](0,-850.394,0)
[3](0,-2248.43,0)
[3](0,-309.865,0)
[3](-0,739.692,-0)
[3](0,-2387.14,0)
[3](0,-856.181,0)
[3](0,-1226.13,0)
[3](0,-2029.75,0)
[3](0,-612.957,0)
[3](-0,488.212,-0)
[3](0,-244.182,0)
[3](0,-980.179,0)
[3](0,-1372.31,0)
[3](0,-1616.41,0)
[3](-0,435.004,-0)
[3](0,-2379.14,0)
[3](0,-2099.73,0)
[3](0,-3417.97,0)
[3](0,-2852.73,0)
[3](0,-531.127,0)
[3](0,-497.108,0)
[3](0,-1566.36,0)
[3](0,-275.271,0)
[3](0,-461.194,0)
[3](0,-1264.75,0)
[3](0,-1340.06,0)
[3](0,-1292.29,0)
[3](0,-486.739,0)
[3](0,-1097.5,0)
[3](-0,166.741,-0)
[3](0,-749.597,0)
[3](0,-1696.61,0)
[3](0,-13.5863,0)
[3](-0,112.447,-0)
[3](0,-1689.42,0)
[3](0,-1718.68,0)
[3](-0,1152.18,-0)
[3](0,-1637.54,0)
[3](0,-952.376,0)
[3](0,-3587.97,0)
[3](0,-1593.3,0)
[3](0,-1860.34,0)
[3](0,-1625.23,0)
[3](0,-708.397,0)
[3](0,-631.882,0)
[3](-0,108.594,-0)
[3](0,-1490.41,0)
[3](0,-589.783,0)
[3](0,-553.007,0)
[3](0,-1562.75,0)
[3](0,-821.591,0)
[3](0,-1429.51,0)
[3](0,-2173.21,0)
[3](0,-553.858,0)
[3](0,-1004.94,0)
[3](0,-1810.94,0)
[3](0,-2716.61,0)
[3](0,-1639.85,0)
[3](0,-1282.68,0)
[3](0,-481.971,0)
[3](0,-719.181,0)
[3](0,-69.1319,0)
[3](0,-980.452,0)
[3](0,-1814.96,0)
[3](0,-464.897,0)
[3](0,-275.658,0)
[3](0,-2876.65,0)
[3](0,-1374.7,0)
[3](0,-1659.17,0)
[3](-0,1205.23,-0)
[3](0,-460.258,0)
[3](0,-447.508,0)
[3](0,-630.767,0)
[3](0,-1891.18,0)
[3](-0,1854.51,-0)
[3](0,-94.7251,0)
[3](0,-769.153,0)
[3](-0,34.8661,-0)
[3](0,-1132.94,0)
[3](0,-1320.09,0)
[3](0,-380.008,0)
[3](-0,365.887,-0)
[3](-0,29.6816,-0)
[3](0,-1699.19,0)
[3](0,-504.87,0)
[3](0,-1339.49,0)
[3](0,-1478.9,0)
[3](0,-599.002,0)
[3](-0,95.8453,-0)
[3](0,-236.447,0)
[3](0,-1971.67,0)
[3](0,-1897.46,0)
[3](0,-1189.43,0)
[3](0,-379.265,0)
[3](0,-477.123,0)
[3](-0,1037.4,-0)
[3](-0,901.378,-0)
[3](-0,1781.57,-0)
[3](0,-1341.79,0)
[3](0,-115.409,0)
[3](0,-2596.82,0)
[3](0,-560.035,0)
[3](0,-588.197,0)
[3](-0,567.213,-0)
[3](0,-1904.24,0)
[3](0,-613.443,0)
[3](-0,240.025,-0)
[3](0,-1268.08,0)
[3](0,-1533.58,0)
[3](-0,419.857,-0)
[3](0,-2190.7,0)
[3](0,-475.961,0)
[3](0,-2034.42,0)
[3](0,-1181.5,0)
[3](0,-1229.18,0)
[3](0,-3332.96,0)
[3](0,-918.952,0)
[3](0,-528.824,0)
[3](0,-1859.4,0)
[3](0,-1419.86,0)
[3](-0,899.268,-0)
[3](-0,108.541,-0)
[3](0,-1418.77,0)
[3](0,-2019,0)
[3](0,-832.851,0)
[3](0,-768.975,0)
[3](0,-1091.17,0)
[3](0,-5.62985,0)
[3](0,-1676.09,0)
[3](0,-446.761,0)
[3](-0,16.1615,-0)
[3](-0,53.8316,-0)
[3](0,-1036.81,0)
[3](-0,107.637,-0)
[3](0,-1720.66,0)
[3](0,-1962.74,0)
[3](0,-941.468,0)
[3](0,-626.175,0)
[3](0,-2345.7,0)
[3](0,-1637.09,0)
[3](0,-1945.21,0)
[3](0,-1742.8,0)
[3](0,-123.602,0)
[3](0,-1428.68,0)
[3](0,-509.707,0)
[3](0,-948.372,0)
[3](0,-881.174,0)
[3](0,-2890.26,0)
[3](0,-1605.06,0)
[3](0,-632.295,0)
[3](-0,86.4743,-0)
[3](-0,456.455,-0)
[3](0,-951.128,0)
[3](0,-715.353,0)
[3](0,-551.653,0)
